epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,673.439,1.49039,2.37843,0.89025,0.13822,0.21249,0.17522,0.10739,1.31401,inf,0.86178,0.000225,0.000225,0.000225
2,1253.84,1.16721,0.92177,0.85354,5e-05,0.00026,2e-05,1e-05,2.6233,inf,1.30046,0.000457921,0.000457921,0.000457921
3,1704.4,1.23575,0.88461,0.8511,0,0,0,0,nan,nan,nan,0.00068614,0.00068614,0.00068614
4,2229.56,1.15661,0.95333,0.84583,0,0,0,0,nan,nan,nan,0.000909656,0.000909656,0.000909656
5,2760.04,1.23772,0.80082,0.84621,2e-05,0.00026,1e-05,0,2.02076,inf,1.19662,0.00112847,0.00112847,0.00112847
6,3259.52,1.36284,0.89387,0.86623,4e-05,0.00051,2e-05,0,nan,nan,nan,0.00118812,0.00118812,0.00118812
7,3739.03,1.264,0.77128,0.84543,0.35164,0.34198,0.34991,0.17275,1.40626,1.34228,0.89043,0.00117575,0.00117575,0.00117575
8,4234.38,1.19051,0.76077,0.84828,0.41098,0.4447,0.35225,0.17258,1.29047,1.16551,0.87383,0.00116337,0.00116337,0.00116337
9,4724.55,1.17824,0.74677,0.84234,0.59269,0.43952,0.44189,0.25509,1.03116,1.44449,0.83394,0.001151,0.001151,0.001151
10,5246.92,1.11232,0.68932,0.83224,0.71275,0.52276,0.58778,0.35406,1.01956,0.87821,0.83464,0.00113863,0.00113863,0.00113863
